Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,EMA_5,EMA_10
29-06-2010,3.8,5.0,3.508,4.778,4.778,93831500,,,4.778,4.778
30-06-2010,5.158,6.084,4.66,4.766,4.766,85935500,,,4.774,4.775818181818181
01-07-2010,5.0,5.184,4.054,4.392,4.392,41094000,,,4.6466666666666665,4.706033057851239
02-07-2010,4.6,4.62,3.742,3.84,3.84,25699000,,,4.377777777777778,4.548572501878286
06-07-2010,4.0,4.0,3.166,3.222,3.222,34334500,4.1996,,3.992518518518519,4.307377501536779
07-07-2010,3.28,3.326,2.996,3.16,3.16,34608500,3.8760000000000003,,3.7150123456790127,4.0987634103482735
08-07-2010,3.228,3.504,3.114,3.492,3.492,38557000,3.6211999999999995,,3.640674897119342,3.988442790284951
09-07-2010,3.516,3.58,3.31,3.48,3.48,20253000,3.4387999999999996,,3.587116598079562,3.895998646596778
12-07-2010,3.59,3.614,3.4,3.41,3.41,11012500,3.3528,,3.5280777320530414,3.8076352563064546
13-07-2010,3.478,3.728,3.38,3.628,3.628,13400500,3.434,3.8167999999999997,3.561385154702028,3.7749743006143714
14-07-2010,3.588,4.03,3.552,3.968,3.968,20976000,3.5956,3.7358000000000002,3.696923436468019,3.810069882320849
15-07-2010,3.988,4.3,3.8,3.978,3.978,18699000,3.6927999999999996,3.657,3.790615624312013,3.8406026309897854
16-07-2010,4.14,4.26,4.01,4.128,4.128,13106500,3.8224000000000005,3.6306,3.9030770828746757,3.892856698082552
19-07-2010,4.274,4.45,4.184,4.382,4.382,12432500,4.0168,3.6848,4.062718055249784,3.9817918438857243
20-07-2010,4.37,4.37,4.01,4.06,4.06,9126500,4.103199999999999,3.7686,4.061812036833189,3.9960115086337744
21-07-2010,4.132,4.18,3.9,4.044,4.044,6262500,4.118399999999999,3.857,4.055874691222126,4.004736688882179
22-07-2010,4.1,4.25,4.074,4.2,4.2,4789000,4.1628,3.9278,4.103916460814751,4.0402391090854195
23-07-2010,4.238,4.312,4.212,4.258,4.258,3268000,4.1888000000000005,4.005599999999999,4.155277640543167,4.079831998342615
26-07-2010,4.3,4.3,4.06,4.19,4.19,4611000,4.150399999999999,4.0836,4.166851760362111,4.099862544098503
27-07-2010,4.182,4.236,4.052,4.11,4.11,3098500,4.1604,4.1318,4.147901173574741,4.101705717898775
28-07-2010,4.11,4.18,4.102,4.144,4.144,2336000,4.180400000000001,4.1494,4.146600782383161,4.109395587371725
29-07-2010,4.154,4.176,4.0,4.07,4.07,3080000,4.154400000000001,4.158600000000001,4.1210671882554415,4.102232753304138
30-07-2010,4.04,4.088,3.91,3.988,3.988,2134500,4.1004000000000005,4.1446,4.076711458836961,4.081463161794295
02-08-2010,4.1,4.194,4.066,4.184,4.184,3590500,4.099200000000001,4.1248,4.112474305891308,4.10010622328624
03-08-2010,4.2,4.39,4.164,4.39,4.39,6152500,4.155200000000001,4.1578,4.204982870594205,4.152814182688742
04-08-2010,4.39,4.436,4.17,4.252,4.252,4565000,4.1768,4.1786,4.220655247062803,4.170847967654424
05-08-2010,4.308,4.31,4.01,4.09,4.09,3981000,4.1808,4.1676,4.177103498041869,4.1561483371718015
06-08-2010,4.02,4.032,3.904,3.918,3.918,3709500,4.1668,4.1335999999999995,4.090735665361246,4.112848639504201
09-08-2010,3.98,3.996,3.89,3.92,3.92,4063500,4.114,4.1066,4.033823776907497,4.077785250503437
10-08-2010,3.93,3.93,3.764,3.806,3.806,6406500,3.9971999999999994,4.0762,3.957882517938332,4.028369750411903
11-08-2010,3.738,3.776,3.57,3.58,3.58,3988000,3.8628,4.0198,3.8319216786255548,3.9468479776097385
12-08-2010,3.56,3.58,3.478,3.52,3.52,3455000,3.7488,3.9647999999999994,3.72794778575037,3.869239254407968
13-08-2010,3.636,3.69,3.532,3.664,3.664,3170000,3.6980000000000004,3.9324,3.7066318571669137,3.831923026333792
16-08-2010,3.69,3.76,3.652,3.756,3.756,2429000,3.6652,3.8896,3.7230879047779424,3.8181188397276475
17-08-2010,3.792,3.88,3.756,3.83,3.83,2239500,3.6700000000000004,3.8335999999999997,3.758725269851962,3.8202790506862567
18-08-2010,3.918,3.918,3.72,3.754,3.754,3006500,3.7048,3.7838000000000003,3.7571501799013083,3.808228314197846
19-08-2010,3.708,3.85,3.666,3.758,3.758,2895500,3.7524,3.7506,3.757433453267539,3.7990958934346013
20-08-2010,3.73,3.822,3.702,3.82,3.82,1480000,3.7836,3.7408,3.7782889688450263,3.8028966400828557
23-08-2010,3.818,4.078,3.8,4.026,4.026,5440500,3.8376000000000006,3.7514000000000003,3.860859312563351,3.843460887340518
24-08-2010,3.85,3.942,3.79,3.84,3.84,3365500,3.8396,3.7547999999999995,3.8539062083755673,3.842831635096787
25-08-2010,3.832,3.996,3.712,3.98,3.98,2516500,3.8848,3.7948,3.8959374722503783,3.8677713378064618
26-08-2010,3.978,4.054,3.92,3.95,3.95,2169000,3.9232,3.8378,3.913958314833586,3.882722003659832
27-08-2010,3.95,3.974,3.9,3.94,3.94,1898000,3.9472,3.8654,3.922638876555724,3.89313618481259
30-08-2010,3.94,4.038,3.922,3.974,3.974,3664000,3.9368000000000003,3.8872,3.9397592510371497,3.9078386966648457
31-08-2010,3.932,3.958,3.866,3.896,3.896,1005500,3.9480000000000004,3.8938,3.925172834024767,3.9056862063621463
01-09-2010,3.924,4.138,3.92,4.09,4.09,2474500,3.97,3.9274,3.980115222683178,3.939197805205392
02-09-2010,4.074,4.248,4.062,4.212,4.212,2435500,4.0224,3.9728000000000003,4.057410148455452,3.988798204258957
03-09-2010,4.174,4.26,4.132,4.21,4.21,2173000,4.0764,4.0118,4.108273432303635,4.02901671257551
07-09-2010,4.122,4.2,4.1,4.108,4.108,1217000,4.103199999999999,4.02,4.108182288202423,4.043377310289054
08-09-2010,4.132,4.19,4.12,4.18,4.18,1442000,4.159999999999999,4.054,4.132121525468282,4.068217799327408
09-09-2010,4.2,4.21,4.138,4.142,4.142,1881000,4.1704,4.0702,4.135414350312188,4.081632744904242
10-09-2010,4.15,4.186,3.952,4.034,4.034,1933000,4.1348,4.0786,4.101609566874792,4.072972245830743
13-09-2010,4.178,4.18,4.1,4.144,4.144,1804000,4.1216,4.098999999999999,4.115739711249862,4.085886382952426
14-09-2010,4.108,4.32,4.106,4.224,4.224,3273500,4.1448,4.1240000000000006,4.151826474166575,4.110997949688348
15-09-2010,4.196,4.4,4.158,4.396,4.396,3423000,4.188000000000001,4.174,4.233217649444383,4.162816504290467
16-09-2010,4.43,4.632,4.168,4.188,4.188,13422500,4.1972000000000005,4.1838,4.21814509962959,4.1673953216922
17-09-2010,4.204,4.264,3.96,4.046,4.046,5992500,4.199599999999999,4.167199999999999,4.16076339975306,4.145323445020891
20-09-2010,4.134,4.27,4.032,4.212,4.212,4737500,4.2132,4.1674,4.17784226650204,4.157446455017093
21-09-2010,4.178,4.31,4.134,4.154,4.154,3980000,4.199199999999999,4.172,4.169894844334694,4.156819826832167
22-09-2010,4.174,4.19,3.96,3.974,3.974,4814500,4.1148,4.151400000000001,4.104596562889796,4.123579858317227
23-09-2010,3.978,4.028,3.9,3.912,3.912,3340500,4.0596000000000005,4.1284,4.040397708593197,4.08511079316864
24-09-2010,3.99,4.038,3.93,4.02,4.02,2894500,4.054399999999999,4.127,4.0335984723954645,4.073272467137978
27-09-2010,4.08,4.162,4.01,4.106,4.106,2093000,4.0332,4.1232,4.05773231493031,4.079222927658345
28-09-2010,4.208,4.298,4.152,4.28,4.28,6072500,4.058400000000001,4.1288,4.131821543286874,4.1157278499022825
